Number-of-branches False-positive-rate-(%) Number-of-hash-functions Bloom-filter-size-(KB)
16 70 2 0.00195312
16 71 2 0.00195312
16 72 2 0.00195312
16 73 2 0.00195312
16 74 2 0.00195312
16 75 2 0.00195312
16 76 2 0.00195312
16 77 2 0.00195312
16 78 2 0.00195312
16 79 2 0.00195312
16 80 2 0.00195312
16 81 2 0.00195312
16 82 2 0.00195312
16 83 2 0.00195312
16 84 2 0.000976562
16 85 2 0.000976562
16 86 2 0.000976562
16 87 2 0.000976562
16 88 2 0.000976562
16 89 2 0.000976562
16 90 2 0.000976562
16 91 2 0.000976562
16 92 2 0.000976562
16 93 2 0.000976562
16 94 2 0.000976562
16 95 2 0.000976562
16 96 2 0.000976562
16 97 2 0.000976562
16 98 2 0.000976562
16 99 2 0.000976562
16 100 2 0.00012207
32 1 7 0.0380859
32 2 6 0.0322266
32 3 5 0.0292969
32 4 5 0.0263672
32 5 4 0.0244141
32 6 4 0.0234375
32 7 4 0.0224609
32 8 4 0.0205078
32 9 4 0.0205078
32 10 3 0.0195312
32 11 3 0.0185547
32 12 3 0.0175781
32 13 3 0.0166016
32 14 3 0.0166016
32 15 3 0.015625
32 16 3 0.015625
32 17 3 0.0146484
32 18 3 0.0146484
32 19 2 0.0136719
32 20 2 0.0136719
32 21 2 0.0126953
32 22 2 0.0126953
32 23 2 0.0126953
32 24 2 0.0117188
32 25 2 0.0117188
32 26 2 0.0117188
32 27 2 0.0107422
32 28 2 0.0107422
32 29 2 0.0107422
32 30 2 0.00976562
32 31 2 0.00976562
32 32 2 0.00976562
32 33 2 0.00976562
32 34 2 0.00976562
32 35 2 0.00878906
32 36 2 0.00878906
32 37 2 0.00878906
32 38 2 0.00878906
32 39 2 0.0078125
32 40 2 0.0078125
32 41 2 0.0078125
32 42 2 0.0078125
32 43 2 0.00683594
32 44 2 0.00683594
32 45 2 0.00683594
32 46 2 0.00683594
32 47 2 0.00683594
32 48 2 0.00585938
32 49 2 0.00585938
32 50 2 0.00585938
32 51 2 0.00585938
32 52 2 0.00585938
32 53 2 0.00585938
32 54 2 0.00585938
32 55 2 0.00488281
32 56 2 0.00488281
32 57 2 0.00488281
32 58 2 0.00488281
32 59 2 0.00488281
32 60 2 0.00488281
32 61 2 0.00488281
32 62 2 0.00488281
32 63 2 0.00390625
32 64 2 0.00390625
32 65 2 0.00390625
32 66 2 0.00390625
32 67 2 0.00390625
32 68 2 0.00390625
32 69 2 0.00390625
32 70 2 0.00390625
32 71 2 0.00390625
32 72 2 0.00390625
32 73 2 0.00292969
32 74 2 0.00292969
32 75 2 0.00292969
32 76 2 0.00292969
32 77 2 0.00292969
32 78 2 0.00292969
32 79 2 0.00292969
32 80 2 0.00292969
32 81 2 0.00292969
32 82 2 0.00292969
32 83 2 0.00292969
32 84 2 0.00292969
32 85 2 0.00195312
32 86 2 0.00195312
32 87 2 0.00195312
32 88 2 0.00195312
32 89 2 0.00195312
32 90 2 0.00195312
32 91 2 0.00195312
32 92 2 0.00195312
32 93 2 0.00195312
32 94 2 0.00195312
32 95 2 0.00195312
32 96 2 0.00195312
32 97 2 0.00195312
32 98 2 0.000976562
32 99 2 0.000976562
32 100 2 0.00012207
64 1 7 0.0751953
64 2 6 0.0644531
64 3 5 0.0576172
64 4 5 0.0527344
64 5 4 0.0488281
64 6 4 0.0458984
64 7 4 0.0439453
64 8 4 0.0419922
64 9 4 0.0400391
64 10 3 0.0380859
64 11 3 0.0361328
64 12 3 0.0351562
64 13 3 0.0332031
64 14 3 0.0322266
64 15 3 0.03125
64 16 3 0.0302734
64 17 3 0.0292969
64 18 3 0.0283203
64 19 2 0.0273438
64 20 2 0.0263672
64 21 2 0.0253906
64 22 2 0.0253906
64 23 2 0.0244141
64 24 2 0.0234375
64 25 2 0.0224609
